GeneID,Localization
G234062,mitochondria
G234081,nucleus
G234086,mitochondria
G234087,nucleus
G234094,nucleus
G234097,nucleus
G234112,mitochondria
G234120,plasma membrane
G234125,golgi
G234137,cytoskeleton
G234140,nucleus
G234147,nucleus
G234161,cytoskeleton
G234175,mitochondria
G234179,nucleus
G234181,nucleus
G234189,nucleus
G234199,nucleus
G234203,nucleus
G234213,golgi
G234215,cytoplasm
G234216,nucleus
G234226,golgi
G234231,cytoplasm
G234247,nucleus
G234249,nucleus
G234256,cytoskeleton
G234258,plasma membrane
G234267,cytoplasm
G234268,cytoplasm
G234273,cytoplasm
G234283,golgi
G234289,nucleus
G234298,nucleus
G234299,nucleus
G234314,cytoplasm
G234333,vacuole
G234339,mitochondria
G234364,nucleus
G234365,plasma membrane
G234372,cytoplasm
G234373,nucleus
G234385,mitochondria
G234389,nucleus
G234394,cytoskeleton
G234405,nucleus
G234411,plasma membrane
G234412,nucleus
G234414,nucleus
G234419,nucleus
G234423,cytoplasm
G234433,cytoplasm
G234442,cytoskeleton
G234470,plasma membrane
G234485,cytoplasm
G234490,nucleus
G234511,nucleus
G234515,nucleus
G234521,cytoplasm
G234531,plasma membrane
G234534,mitochondria
G234565,ER
G234570,nucleus
G234573,ER
G234579,nucleus
G234590,nucleus
G234592,nucleus
G234612,nucleus
G234615,cytoskeleton
G234617,plasma membrane
G234618,nucleus
G234633,nucleus
G234641,cytoskeleton
G234645,vacuole
G234651,transport vesicles
G234653,nucleus
G234671,vacuole
G234679,cytoplasm
G234683,plasma membrane
G234688,nucleus
G234698,plasma membrane
G234701,cytoplasm
G234704,cytoplasm
G234711,nucleus
G234728,cytoplasm
G234739,cytoplasm
G234741,mitochondria
G234742,golgi
G234743,nucleus
G234750,cytoplasm
G234758,ER
G234773,mitochondria
G234780,nucleus
G234785,cytoskeleton
G234790,ER
G234791,mitochondria
G234794,mitochondria
G234798,nucleus
G234802,cytoplasm
G234806,cytoskeleton
G234813,mitochondria
G234834,nucleus
G234837,mitochondria
G234847,nucleus
G234861,nucleus
G234881,nucleus
G234905,nucleus
G234922,nucleus
G234927,nucleus
G234940,transport vesicles
G234945,nucleus
G234951,nucleus
G234958,nucleus
G234965,nucleus
G234971,mitochondria
G234974,nucleus
G234977,vacuole
G234992,plasma membrane
G235001,nucleus
G235033,nucleus
G235050,nucleus
G235051,transport vesicles
G235055,nucleus
G235069,nucleus
G235081,cytoplasm
G235082,nucleus
G235094,mitochondria
G235096,nucleus
G235097,nucleus
G235098,nucleus
G235104,cytoskeleton
G235106,nucleus
G235108,nucleus
G235109,nucleus
G235110,nucleus
G235111,cytoplasm
G235112,cytoskeleton
G235118,cytoplasm
G235121,cytoplasm
G235149,nucleus
G235150,ER
G235160,cytoskeleton
G235166,nucleus
G235176,cytoplasm
G235179,nucleus
G235183,cytoskeleton
G235186,nucleus
G235208,cytoplasm
G235215,nucleus
G235220,transport vesicles
G235223,cytoskeleton
G235224,ER
G235232,cytoplasm
G235233,nucleus
G235236,nucleus
G235237,nucleus
G235255,cytoskeleton
G235256,cytoskeleton
G235268,nucleus
G235275,mitochondria
G235276,cytoplasm
G235284,cytoplasm
G235291,golgi
G235299,mitochondria
G235305,nucleus
G235311,nucleus
G235315,nucleus
G235318,cytoplasm
G235319,nucleus
G235325,nucleus
G235328,nucleus
G235337,nucleus
G235339,nucleus
G235352,nucleus
G235353,transport vesicles
G235354,nucleus
G235356,ER
G235362,nucleus
G235367,nucleus
G235369,nucleus
G235376,cytoplasm
G235377,transport vesicles
G235385,transport vesicles
G235387,cytoplasm
G235389,cytoplasm
G235392,nucleus
G235393,cytoplasm
G235402,cytoskeleton
G235405,nucleus
G235414,nucleus
G235423,cytoplasm
G235424,golgi
G235440,nucleus
G235446,plasma membrane
G235454,mitochondria
G235466,mitochondria
G235476,nucleus
G235487,nucleus
G235488,nucleus
G235493,cytoplasm
G235503,cytoskeleton
G235505,nucleus
G235507,cytoskeleton
G235511,ER
G235517,cytoskeleton
G235520,nucleus
